race,driver_abbreviation,finishing_position
Australian Grand Prix,RUS,1
Australian Grand Prix,ANT,2
Australian Grand Prix,LEC,3
Australian Grand Prix,HAM,4
Australian Grand Prix,NOR,5
Australian Grand Prix,VER,6
Australian Grand Prix,BEA,7
Australian Grand Prix,LIN,8
Australian Grand Prix,BOR,9
Australian Grand Prix,GAS,10
Australian Grand Prix,OCO,11
Australian Grand Prix,ALB,12
Australian Grand Prix,LAW,13
Australian Grand Prix,COL,14
Australian Grand Prix,SAI,15
Australian Grand Prix,PER,16
Australian Grand Prix,STR,17
Australian Grand Prix,ALO,DNF
Australian Grand Prix,BOT,DNF
Australian Grand Prix,HAD,DNF
Australian Grand Prix,PIA,DNF
Australian Grand Prix,HUL,DNF
Chinese Grand Prix,ANT,1
Chinese Grand Prix,RUS,2
Chinese Grand Prix,HAM,3
Chinese Grand Prix,LEC,4
Chinese Grand Prix,BEA,5
Chinese Grand Prix,GAS,6
Chinese Grand Prix,LAW,7
Chinese Grand Prix,HAD,8
Chinese Grand Prix,SAI,9
Chinese Grand Prix,COL,10
Chinese Grand Prix,HUL,11
Chinese Grand Prix,LIN,12
Chinese Grand Prix,BOT,13
Chinese Grand Prix,OCO,14
Chinese Grand Prix,PER,15
Chinese Grand Prix,VER,DNF
Chinese Grand Prix,ALO,DNF
Chinese Grand Prix,STR,DNF
Chinese Grand Prix,PIA,DNF
Chinese Grand Prix,NOR,DNF
Chinese Grand Prix,BOR,DNF
Chinese Grand Prix,ALB,DNF
Japanese Grand Prix,ANT,1
Japanese Grand Prix,PIA,2
Japanese Grand Prix,LEC,3
Japanese Grand Prix,RUS,4
Japanese Grand Prix,NOR,5
Japanese Grand Prix,HAM,6
Japanese Grand Prix,GAS,7
Japanese Grand Prix,VER,8
Japanese Grand Prix,LAW,9
Japanese Grand Prix,OCO,10
Japanese Grand Prix,HUL,11
Japanese Grand Prix,HAD,12
Japanese Grand Prix,BOR,13
Japanese Grand Prix,LIN,14
Japanese Grand Prix,SAI,15
Japanese Grand Prix,COL,16
Japanese Grand Prix,PER,17
Japanese Grand Prix,ALO,18
Japanese Grand Prix,BOT,19
Japanese Grand Prix,ALB,20
Japanese Grand Prix,STR,DNF
Japanese Grand Prix,BEA,DNF
Miami Grand Prix,ANT,1
Miami Grand Prix,NOR,2
Miami Grand Prix,PIA,3
Miami Grand Prix,RUS,4
Miami Grand Prix,VER,5
Miami Grand Prix,HAM,6
Miami Grand Prix,COL,7
Miami Grand Prix,LEC,8
Miami Grand Prix,SAI,9
Miami Grand Prix,ALB,10
Miami Grand Prix,BEA,11
Miami Grand Prix,BOR,12
Miami Grand Prix,OCO,13
Miami Grand Prix,LIN,14
Miami Grand Prix,ALO,15
Miami Grand Prix,PER,16
Miami Grand Prix,STR,17
Miami Grand Prix,BOT,18
Miami Grand Prix,HUL,DNF
Miami Grand Prix,LAW,DNF
Miami Grand Prix,GAS,DNF
Miami Grand Prix,HAD,DNF
Canadian Grand Prix,ANT,1
Canadian Grand Prix,HAM,2
Canadian Grand Prix,VER,3
Canadian Grand Prix,LEC,4
Canadian Grand Prix,HAD,5
Canadian Grand Prix,COL,6
Canadian Grand Prix,LAW,7
Canadian Grand Prix,GAS,8
Canadian Grand Prix,SAI,9
Canadian Grand Prix,BEA,10
Canadian Grand Prix,PIA,11
Canadian Grand Prix,HUL,12
Canadian Grand Prix,BOR,13
Canadian Grand Prix,OCO,14
Canadian Grand Prix,STR,15
Canadian Grand Prix,BOT,16
Canadian Grand Prix,PER,DNF
Canadian Grand Prix,NOR,DNF
Canadian Grand Prix,RUS,DNF
Canadian Grand Prix,ALO,DNF
Canadian Grand Prix,ALB,DNF
Canadian Grand Prix,LIN,DNF
Monaco Grand Prix,ANT,1
Monaco Grand Prix,HAM,2
Monaco Grand Prix,GAS,3
Monaco Grand Prix,HAD,4
Monaco Grand Prix,PIA,5
Monaco Grand Prix,LAW,6
Monaco Grand Prix,LIN,7
Monaco Grand Prix,ALB,8
Monaco Grand Prix,OCO,9
Monaco Grand Prix,ALO,10
Monaco Grand Prix,BOR,11
Monaco Grand Prix,RUS,12
Monaco Grand Prix,HUL,13
Monaco Grand Prix,COL,14
Monaco Grand Prix,PER,15
Monaco Grand Prix,SAI,DNF
Monaco Grand Prix,LEC,DNF
Monaco Grand Prix,STR,DNF
Monaco Grand Prix,NOR,DNF
Monaco Grand Prix,BEA,DNF
Monaco Grand Prix,BOT,DNF
Monaco Grand Prix,VER,DNF
Barcelona Grand Prix,HAM,1
Barcelona Grand Prix,RUS,2
Barcelona Grand Prix,NOR,3
Barcelona Grand Prix,VER,4
Barcelona Grand Prix,PIA,5
Barcelona Grand Prix,HAD,6
Barcelona Grand Prix,GAS,7
Barcelona Grand Prix,LAW,8
Barcelona Grand Prix,LIN,9
Barcelona Grand Prix,COL,10
Barcelona Grand Prix,BOR,11
Barcelona Grand Prix,SAI,12
Barcelona Grand Prix,OCO,13
Barcelona Grand Prix,PER,14
Barcelona Grand Prix,LEC,DNF
Barcelona Grand Prix,ANT,DNF
Barcelona Grand Prix,BEA,DNF
Barcelona Grand Prix,ALB,18
Barcelona Grand Prix,ALO,DNF
Barcelona Grand Prix,HUL,DNF
Barcelona Grand Prix,BOT,DNF
Barcelona Grand Prix,STR,DNF
Austrian Grand Prix,RUS,1
Austrian Grand Prix,VER,2
Austrian Grand Prix,ANT,3
Austrian Grand Prix,PIA,4
Austrian Grand Prix,HAM,5
Austrian Grand Prix,HAD,6
Austrian Grand Prix,NOR,7
Austrian Grand Prix,LEC,8
Austrian Grand Prix,LAW,9
Austrian Grand Prix,LIN,10
Austrian Grand Prix,BOR,11
Austrian Grand Prix,HUL,12
Austrian Grand Prix,GAS,13
Austrian Grand Prix,BEA,14
Austrian Grand Prix,COL,15
Austrian Grand Prix,OCO,16
Austrian Grand Prix,ALB,17
Austrian Grand Prix,ALO,18
Austrian Grand Prix,STR,DNF
Austrian Grand Prix,SAI,DNF
Austrian Grand Prix,PER,DNF
Austrian Grand Prix,BOT,DNF
British Grand Prix,LEC,1
British Grand Prix,RUS,2
British Grand Prix,HAM,3
British Grand Prix,NOR,4
British Grand Prix,HAD,5
British Grand Prix,LAW,6
British Grand Prix,LIN,7
British Grand Prix,BOR,8
British Grand Prix,COL,9
British Grand Prix,GAS,10
British Grand Prix,PIA,11
British Grand Prix,BEA,12
British Grand Prix,OCO,13
British Grand Prix,PER,14
British Grand Prix,ANT,15
British Grand Prix,BOT,16
British Grand Prix,SAI,17
British Grand Prix,ALO,18
British Grand Prix,STR,19
British Grand Prix,VER,DNF
British Grand Prix,ALB,DNF
British Grand Prix,HUL,DNF
Belgian Grand Prix,ANT,1
Belgian Grand Prix,LEC,2
Belgian Grand Prix,VER,3
Belgian Grand Prix,HAM,4
