race,driver_abbreviation,starting_position
Hungarian Grand Prix,NOR,1.0
Hungarian Grand Prix,LEC,2.0
Hungarian Grand Prix,PIA,3.0
Hungarian Grand Prix,VER,4.0
Hungarian Grand Prix,HAM,5.0
Hungarian Grand Prix,RUS,6.0
Hungarian Grand Prix,ANT,7.0
Hungarian Grand Prix,HAD,8.0
Hungarian Grand Prix,LIN,9.0
Hungarian Grand Prix,HUL,10.0
Hungarian Grand Prix,LAW,11.0
Hungarian Grand Prix,GAS,12.0
Hungarian Grand Prix,COL,13.0
Hungarian Grand Prix,BOR,14.0
Hungarian Grand Prix,OCO,15.0
Hungarian Grand Prix,ALO,16.0
Hungarian Grand Prix,BEA,17.0
Hungarian Grand Prix,SAI,18.0
Hungarian Grand Prix,ALB,19.0
Hungarian Grand Prix,STR,20.0
Hungarian Grand Prix,BOT,21.0
Hungarian Grand Prix,PER,22.0
