driver_abbreviation,average_position,starting_position,standard_deviation,dnf_probability
NOR,4.714285714285714,1.0,1.8898223650461359,0.3
LEC,4.125,2.0,2.5877458475338284,0.2
PIA,5.75,3.0,3.4121631178560534,0.2
VER,4.428571428571429,4.0,2.0701966780270626,0.3
HAM,3.6,5.0,1.7126976771553506,0.0
RUS,3.5,6.0,3.6253078686998625,0.2
ANT,2.888888888888889,7.0,4.594682917363407,0.1
HAD,6.5,8.0,2.507132682112035,0.2
LIN,10.0,9.0,2.7386127875258306,0.1
HUL,12.0,10.0,0.8944271909999156,0.4
LAW,8.555555555555555,11.0,2.5055493963954847,0.1
GAS,8.333333333333334,12.0,3.0,0.1
COL,11.1,13.0,3.4464152068167557,0.0
BOR,10.666666666666666,14.0,1.9364916731037085,0.1
OCO,13.0,15.0,2.494438257849294,0.0
ALO,16.333333333333332,16.0,3.386246693120078,0.4
BEA,10.428571428571429,17.0,3.4086724129853865,0.3
SAI,12.75,18.0,3.412163117856053,0.2
ALB,14.285714285714286,19.0,4.423960733486292,0.3
STR,17.0,20.0,1.632993161855452,0.6
BOT,16.666666666666668,21.0,2.160246899469287,0.4
PER,15.285714285714286,22.0,1.112697280528374,0.3
